"Category","Name","Description"
"NetworkDescription","VDI Desktops",""
"NetworkDescription","VDI Management",""
"StorageType","Local",""
"StorageType","Nested",""
"StorageType","SynologyDS1817+_core-stor02",""
"T115-DatastoreTags","Test",""
"VMBackup","0500-Daily-IND",""
"VMBackup","0600-Daily-IND",""
"VMBackup","0700-Daily-IND",""
"VMBackup","1700-Friday-CLE",""
"VMBackup","2000-Friday-IND",""
"VMBackup","Excluded",""
"VMRole","Cloud Management",""
"VMRole","Cloud Platform",""
"VMRole","Database",""
"VMRole","Domain Controller","Active Directory Domain Controller"
"VMRole","EUC","End User Computing"
"VMRole","File Print",""
"VMRole","FindThisInTheLogs",""
"VMRole","Network & Security",""
"VMRole","TwoFactor-Radius",""
"VMRole","Web",""
